Long March 4,41.9,3.35,249000,4000
Arine 5,52,5.4,777000,21000
Juno II,24,2.67,55110,41
Atlas V,58.3,3.81,334500,29400
Antares,40.5,3.9,240000,5000
Delta II,38.2,2.44,231870,6100
Denpr 1,34.3,3,211999,4500
GSLV,49,2.8,402000,5000
Falcon 9,54.3,3.66,333400,6622
HIIA,53,3,445000,15000
Kosmos 3M,32.4,2.4,109000,1500
HIIB,56.6,5.2,531000,19000
Minotaur I,19.2,1.67,36200,580
Minotaur IV,23.88,2.34,86300,1735
Pegasus,16.9,1.227,18500,443
Proton M,53,7.4,712800,22000
PSLV,44,2.8,294000,3250
Rokot,29,2.5,107000,1950
Safir,22,1.25,26000,50
Shavit,26.4,2.3,70000,800
Start 1,22.7,1.61,47200,532
Strela,24.3,2.5,104000,1700
Soyuz U,51.1,3,313000,6900
Soyuz FG,49.5,10.3,305000,7100
Soyuz 2,46.1,2.95,305000,7800
Taurus,27.9,2.35,73000,1320
Tsyklon 2,39.7,3,182000,2820
Unha,32.01,2.41,85000,100
Vega,30,3,137000,1500
VLS 1,19.5,1.01,50700,380
Zenit 2,57,3.9,444900,13740
Zenit 2M,57.35,3.9,458900,12030
Zenit 3SL,59.6,3.9,462200,6060
Zenit 3SLB,59.6,3.9,471000,3750
Zenit 3F,59.6,3.9,471000,5000
Arine 4,58.72,3.8,470000,7600
Vanguard,23,1.14,10050,23
Tsyklon,39.7,3,182000,3000
Thor Able,26.9,2.44,51608,120
Thorad Agena,32.9,2.44,91400,1036
Titan II GLV,33.2,3.05,340000,7900
Sparta,21.8,1.78,30000,45
SLV,22,1,17000,40
Scout,25,1.01,17850,210
Saturn I,55,6.52,510000,20000
Black Arrow,13,2,18130,135
Polyot,30,2.99,277000,1400
Pilot,4.4,0.76,900,1.05
